Clothing,Color,Fabric/Texture,wearCount,Style,Type,Temperature,* 20 initial entries were inputted by team
Crop top,Violet,Linen,0,Casual,Tops,cold,
Suit pants,Zebra Print,Nylon,0,Formal,Bottoms,warm,
Lounge shorts,Nude,Spandex,0,Loungewear,Bottoms,hot,
Pocket tee,Turquoise,Linen,0,Casual,Tops,warm,
Mom jeans,Houndstooth Black/White,Leather,0,Casual,Bottoms,warm,
Trousers,Yellow,Linen,0,Casual,Bottoms,warm,
Sleep shorts,Red,Leather,0,Loungewear,Bottoms,cold,
Halter top,Color Block Black/Red,Linen,0,Casual,Tops,warm,
Summer dress,Color Block Black/Red,Cotton,0,Casual,Dresses,warm,
Crew neck tee,Fuchsia,Cotton,0,Casual,Tops,warm,
Pleated pants,Burnt Orange,Silk,0,Casual,Bottoms,cold,
Fitted sweater,Chocolate,Leather,0,Casual,Tops,hot,
Mini dress,Navy,Polyester,0,Casual,Dresses,warm,
Running tights,Orange,Polyester,0,Athletic,Activewear,warm,
shorts,Hot Pink,Polyester,0,Athletic,Activewear,warm,
Wrap blouse,Orange,Silk,0,Casual,Tops,cold,
Puffer vest,Burnt Orange,Denim,0,Outerwear,Jackets,warm,
Midi skirt,White,Silk,0,Casual,Bottoms,warm,
Boyfriend jeans,Royal Blue,Leather,0,Casual,Bottoms,warm,
Linen pants,Burnt Orange,Spandex,0,Casual,Bottoms,hot,
Trousers,Color Block Navy/White,Polyester,0,Casual,Bottoms,warm,
Bikini top,Mint,Leather,0,Casual,Activewear,warm,
Wide leg jumpsuit,Houndstooth Black/White,Nylon,0,Casual,Dresses,warm,
Maxi skirt,Olive,Cotton,0,Casual,Bottoms,hot,
Leather jacket,Floral Multicolor,Leather,0,Outerwear,Jackets,warm,
Compression shirt,Striped Navy/White,Denim,0,Athletic,Activewear,warm,
Flared jeans,Blush,Silk,0,Casual,Bottoms,cold,
Party dress,Ivory,Silk,0,Casual,Dresses,hot,
Tennis skirt,Red,Cotton,0,Athletic,Bottoms,hot,
Shorts,Color Block Navy/White,Silk,0,Casual,Bottoms,hot,
Skirt,Crimson,Leather,0,Casual,Bottoms,cold,
Floral skirt,Mustard,Polyester,0,Casual,Bottoms,warm,
Ski jacket,Lime,Fleece,0,Athletic,Jackets,cold,
Crewneck sweatshirt,Plum,Wool,0,Outerwear,Jackets,cold,
Performance jacket,Plaid Blue/Green,Nylon,0,Athletic,Activewear,cold,
romper,Maroon,Leather,0,Athletic,Activewear,warm,
Jeans,Denim Blue,Nylon,0,Casual,Bottoms,cold,
Wool coat,Coral,Nylon,0,Outerwear,Jackets,cold,
Oversized sweater,Tan,Cotton,0,Casual,Tops,warm,
Chambray shirt,Caramel,Polyester,0,Casual,Tops,warm,
Performance jacket,Black,Silk,0,Athletic,Activewear,cold,
Oversized tee,Mustard,Cotton,0,Casual,Tops,hot,
Sleep shorts,Crimson,Cotton,0,Loungewear,Bottoms,hot,
Joggers,Camouflage Green,Leather,0,Athletic,Bottoms,cold,
Midi dress,Tan,Leather,0,Casual,Dresses,cold,
Pullover sweater,Plaid Blue/Green,Cotton,0,Casual,Tops,warm,
Tee,Houndstooth Black/White,Cotton,0,Casual,Tops,hot,
Polo shirt,Gray,Cotton,0,Casual,Tops,hot,
Compression shorts,Sage,Polyester,0,Athletic,Activewear,hot,
Bike shorts,Gray,Polyester,0,Casual,Activewear,hot,
Formal skirt,Navy/White,Polyester,0,Formal,Bottoms,cold,
Off-shoulder top,Blue,Cotton,0,Casual,Tops,hot,
Pocket tee,Gold,Denim,0,Casual,Tops,hot,
V-neck sweater,Zebra Print,Wool,0,Casual,Tops,cold,
Formal skirt,Mauve,Wool,0,Formal,Bottoms,cold,
Tuxedo pants,Rose,Nylon,0,Formal,Bottoms,cold,
Midi dress,Salmon,Leather,0,Casual,Dresses,cold,
Parka,Lime,Silk,0,Outerwear,Jackets,cold,
Mini skirt,Chocolate,Cotton,0,Casual,Bottoms,hot,
Henley,Salmon,Nylon,0,Casual,Tops,hot,
Wrap dress,Color Block Navy/White,Leather,0,Casual,Dresses,cold,
Halter top,White,Spandex,0,Casual,Tops,hot,
Long sleeve,Floral Multicolor,Wool,0,Casual,Tops,cold,
Fitted sweater,Lilac,Spandex,0,Casual,Tops,warm,
Fleece jacket,Ivory,Silk,0,Outerwear,Jackets,cold,
Distressed jeans,Striped Navy/White,Wool,0,Casual,Bottoms,cold,
tank,Caramel,Wool,0,Athletic,Activewear,warm,
Sweatshirt,Cream,Silk,0,Outerwear,Jackets,cold,
Wrap skirt,Gray,Cotton,0,Casual,Bottoms,hot,
Military jacket,Red,Spandex,0,Outerwear,Jackets,cold,
Peasant blouse,Turquoise,Linen,0,Casual,Tops,warm,
Parka,Gold,Cotton,0,Outerwear,Jackets,cold,
Pajama shorts,Checkered Black/White,Polyester,0,Loungewear,Bottoms,hot,
Bodycon dress,Denim Blue,Nylon,0,Casual,Dresses,warm,
Blazer,Violet,Polyester,0,Formal,Jackets,cold,
Compression shirt,Navy/White,Silk,0,Athletic,Activewear,warm,
Peasant blouse,Plum,Nylon,0,Casual,Tops,cold,
Bikini top,Lavender,Cotton,0,Casual,Activewear,hot,
Fair Isle sweater,Forest Green,Leather,0,Casual,Tops,hot,
Wool coat,Mustard,Nylon,0,Outerwear,Jackets,cold,
Oversized hoodie,Hot Pink,Denim,0,Outerwear,Jackets,cold,
Mom jeans,Hot Pink,Nylon,0,Casual,Bottoms,cold,
Swim trunks,Teal,Cotton,0,Athletic,Activewear,hot,
Thermal pajamas,Caramel,Nylon,0,Loungewear,Tops,cold,
shorts,Crimson,Denim,0,Athletic,Activewear,cold,
Thermal pajamas,Crimson,Nylon,0,Loungewear,Tops,cold,
Pencil skirt,Pink,Spandex,0,Formal,Bottoms,hot,
Henley,Black,Spandex,0,Casual,Tops,cold,
Romper,Pink,Wool,0,Casual,Dresses,warm,
Moisture-wicking shirt,Light Blue,Spandex,0,Athletic,Activewear,hot,
Mom jeans,Navy/White,Leather,0,Casual,Bottoms,cold,
Cropped hoodie,Color Block Black/Red,Silk,0,Outerwear,Jackets,cold,
Formal gown,Sky Blue,Cotton,0,Formal,Dresses,warm,
Thermal long sleeve,Mauve,Spandex,0,Casual,Tops,cold,
Cardigan,Lavender,Nylon,0,Outerwear,Jackets,cold,
Polo shirt,Teal,Cotton,0,Casual,Tops,hot,
A-line dress,Chocolate,Cotton,0,Casual,Dresses,hot,
Softshell jacket,Leopard Print,Leather,0,Athletic,Jackets,cold,
Sleep shirt,Hot Pink,Silk,0,Loungewear,Tops,warm,
Oversized tee,Forest Green,Fleece,0,Casual,Tops,cold,
shorts,Floral Multicolor,Linen,0,Athletic,Activewear,hot,
Blouse,Maroon,Wool,0,Casual,Tops,cold,
Chino shorts,Nude,Nylon,0,Casual,Bottoms,hot,
Raincoat,Caramel,Spandex,0,Outerwear,Jackets,cold,
Wide leg pants,Lime,Fleece,0,Casual,Bottoms,cold,
Cardigan,Rust,Leather,0,Outerwear,Jackets,cold,
Off-shoulder top,Denim Blue,Polyester,0,Casual,Tops,hot,
Tee,Rose,Linen,0,Casual,Tops,cold,
V-neck sweater,Hot Pink,Silk,0,Casual,Tops,cold,
Jumpsuit,Lilac,Nylon,0,Casual,Dresses,hot,
Formal skirt,Denim Blue,Fleece,0,Formal,Bottoms,warm,
Pleated skirt,Rust,Leather,0,Casual,Bottoms,cold,
Wrap skirt,Wine,Spandex,0,Casual,Bottoms,cold,
Pencil skirt,Teal,Wool,0,Formal,Bottoms,cold,
Rain jacket,Lime,Linen,0,Outerwear,Jackets,cold,
Wrap dress,Sage,Leather,0,Casual,Dresses,cold,
Maxi dress,Cobalt,Nylon,0,Casual,Dresses,hot,
Varsity jacket,Checkered Black/White,Polyester,0,Outerwear,Jackets,cold,
Pajama set,Color Block Navy/White,Cotton,0,Loungewear,Tops,warm,
Yoga shorts,Striped Black/White,Spandex,0,Athletic,Activewear,cold,
Jumpsuit,Teal,Cotton,0,Casual,Dresses,cold,
Prom dress,Peach,Fleece,0,Formal,Dresses,warm,
Oversized tee,Turquoise,Fleece,0,Casual,Tops,warm,
Wide leg pants,Crimson,Polyester,0,Casual,Bottoms,cold,
Tuxedo jacket,Hot Pink,Nylon,0,Formal,Jackets,hot,
Overalls,Plaid Red/Black,Wool,0,Casual,Dresses,cold,
Fleece vest,Camouflage Green,Silk,0,Casual,Jackets,warm,
Sweatshirt,Cream,Spandex,0,Outerwear,Jackets,cold,
Robe,Houndstooth Black/White,Nylon,0,Loungewear,Jackets,hot,
Off-shoulder top,Lime,Polyester,0,Casual,Tops,warm,
Zip-up top,Ivory,Nylon,0,Casual,Tops,cold,
Training shorts,Lilac,Nylon,0,Athletic,Activewear,cold,
Off-shoulder top,White,Spandex,0,Casual,Tops,warm,
Shorts,Yellow,Fleece,0,Casual,Bottoms,cold,
Moisture-wicking tee,Leopard Print,Silk,0,Athletic,Activewear,warm,
Overalls,Blush,Polyester,0,Casual,Dresses,hot,
Floral jumpsuit,Camouflage Green,Cotton,0,Casual,Dresses,cold,
Compression leggings,Charcoal,Leather,0,Athletic,Activewear,cold,
Moisture-wicking shirt,Teal,Nylon,0,Athletic,Activewear,cold,
Long sleeve,Cobalt,Linen,0,Casual,Tops,hot,
Capri pants,Aqua,Denim,0,Casual,Bottoms,hot,
Linen jumpsuit,Burnt Orange,Nylon,0,Casual,Dresses,warm,
Raincoat,Violet,Leather,0,Outerwear,Jackets,cold,
Raglan shirt,Red/White,Leather,0,Casual,Tops,warm,
Pencil skirt,Brown,Nylon,0,Formal,Bottoms,cold,
tank,Cobalt,Cotton,0,Athletic,Activewear,cold,
Thermal leggings,Sky Blue,Leather,0,Athletic,Activewear,cold,
Tennis skirt,Lime,Nylon,0,Athletic,Bottoms,hot,
Skinny jeans,Color Block Navy/White,Linen,0,Casual,Bottoms,cold,
Floral skirt,Color Block Black/Red,Leather,0,Casual,Bottoms,cold,
Floral jumpsuit,Mustard,Leather,0,Casual,Dresses,cold,
Chunky knit sweater,Coral,Wool,0,Casual,Tops,cold,
Ribbed sweater,Navy/White,Polyester,0,Casual,Tops,cold,
Oxford shirt,Rust,Leather,0,Formal,Tops,cold,
Varsity jacket,Black/White,Polyester,0,Outerwear,Jackets,cold,
